340	-6159532.843	-2406865.886	1876109.623	1987.084886	622.3575018	7326.551661
345	-6149502.904	-2403717.165	1912713.311	2024.880411	637.1277688	7314.885682
350	-6139284.144	-2400494.642	1949258.105	2062.612874	651.8781172	7302.994771
355	-6128876.882	-2397198.418	1985742.884	2100.281109	666.6080916	7290.879307
360	-6118281.442	-2393828.596	2022166.525	2137.883948	681.3172372	7278.539676
365	-6107498.153	-2390385.281	2058527.908	2175.42023	696.0051001	7265.976273
370	-6096527.352	-2386868.581	2094825.915	2212.888792	710.6712269	7253.189497
375	-6085369.38	-2383278.606	2131059.431	2250.288477	725.3151652	7240.179757
380	-6074024.584	-2379615.467	2167227.342	2287.61813	739.936463	7226.947465
385	-6062493.318	-2375879.28	2203328.536	2324.876595	754.5346693	7213.493044
390	-6050775.939	-2372070.16	2239361.903	2362.062724	769.1093337	7199.816921
395	-6038872.813	-2368188.226	2275326.336	2399.175368	783.6600063	7185.919532
400	-6026784.31	-2364233.6	2311220.73	2436.213381	798.1862383	7171.801319
405	-6014510.805	-2360206.405	2347043.982	2473.17562	812.6875812	7157.462731
410	-6002052.682	-2356106.767	2382794.991	2510.060945	827.1635876	7142.904224
415	-5989410.326	-2351934.812	2418472.658	2546.868219	841.6138104	7128.126261
420	-5976584.131	-2347690.672	2454075.888	2583.596306	856.0378038	7113.129313
425	-5963574.497	-2343374.479	2489603.587	2620.244074	870.4351225	7097.913857
430	-5950381.826	-2338986.366	2525054.664	2656.810394	884.805322	7082.480378
435	-5937006.53	-2334526.472	2560428.029	2693.29414	899.1479589	7066.829367
440	-5923449.024	-2329994.933	2595722.596	2729.694186	913.4625906	7050.961322
445	-5909709.73	-2325391.893	2630937.281	2766.009413	927.7487755	7034.876748
450	-5895789.074	-2320717.494	2666071.003	2802.238702	942.0060729	7018.576158
455	-5881687.488	-2315971.881	2701122.683	2838.380938	956.2340433	7002.06007
460	-5867405.411	-2311155.203	2736091.245	2874.43501	970.4322481	6985.329011
465	-5852943.287	-2306267.609	2770975.616	2910.399808	984.6002501	6968.383512
470	-5838301.564	-2301309.252	2805774.724	2946.274226	998.737613	6951.224113
475	-5823480.697	-2296280.285	2840487.502	2982.057162	1012.843902	6933.851358
480	-5808481.146	-2291180.865	2875112.883	3017.747516	1026.918682	6916.2658
485	-5793303.378	-2286011.151	2909649.806	3053.344192	1040.961521	6898.467996
490	-5777947.862	-2280771.304	2944097.21	3088.846096	1054.971988	6880.458512
495	-5762415.077	-2275461.486	2978454.039	3124.252139	1068.949651	6862.237918
500	-5746705.503	-2270081.863	3012719.238	3159.561234	1082.894082	6843.806792
505	-5730819.628	-2264632.601	3046891.757	3194.772297	1096.804851	6825.165716
