     time (sec)           x (m)           y (m)           z (m)        vx (m/s)        vy (m/s)        vz (m/s)
          1320.000000000000000       -1288357.978590771788731        -626523.954892714624293        6723386.990914754569530           6954.854193124220728           2645.541349606835411           1580.493952058262266
          1330.000000000000000       -1218732.227733785053715        -600030.844317217241041        6738780.160251418128610           6970.154263756086948           2653.026828969806047           1498.109010050777442
          1340.000000000000000       -1148957.730527780251577        -573464.498493568389677        6753348.569652158766985           6984.603174153373402           2660.188255669900627           1415.543629623516608
          1350.000000000000000       -1079043.007071494823322        -546828.162191769224592        6767090.464706439524889           6998.199241742422601           2667.024787400888727           1332.807808587829868
          1360.000000000000000       -1008996.593787901219912        -520125.088413338991813        6780004.191072566434741           7010.940884239714251           2673.535620142743028           1249.911562723577163
          1370.000000000000000        -938827.042421175749041        -493358.538008847390302        6792088.194652092643082           7022.826619722050964           2679.719988155415649           1166.864924740222932
          1380.000000000000000        -868542.919033394544385        -466531.779295238025952        6803341.021754065528512           7033.855066613475174           2685.577163967946490           1083.677943259249560
          1390.000000000000000        -798152.802998049417511        -439648.087670550856274        6813761.319249177351594           7044.024944108512500           2691.106458737444882           1000.360681810320557
          1400.000000000000000        -727665.285995043348521        -412710.745229830383323        6823347.834713690914214           7053.335071870210413           2696.307221997058150            916.923217803984016
          1410.000000000000000        -657088.971002180711366        -385723.040379289770499        6832099.416562881320715           7061.784370542391116           2701.178841939038193            833.375641476477995
          1420.000000000000000        -586432.471288197557442        -358688.267450338462368        6840015.014174679294229           7069.371861442129557           2705.720745362629714            749.728054925181709
          1430.000000000000000        -515704.409402134944685        -331609.726313163875602        6847093.678002318367362           7076.096667067882663           2709.932397742048579            665.990570980130315
          1440.000000000000000        -444913.416164598776959        -304490.721988742356189        6853334.559677602723241           7081.958010768655186           2713.813303404489488            582.173312304802153
          1450.000000000000000        -374068.129655274155084        -277334.564261844148859        6858736.912102715112269           7086.955217267101943           2717.363005358892678            498.286410188690695
          1460.000000000000000        -303177.194201943813823        -250144.567291121755261        6863300.089532729238272           7091.087712346276930           2720.581085716080906            414.340003691309164
          1470.000000000000000        -232249.259366816695547        -222924.049220802378841        6867023.547646674327552           7094.355023276425527           2723.467165355847555            330.344238410049854
          1480.000000000000000        -161292.978932984347921        -195676.331789928051876        6869906.843608681112528           7096.756778676344766           2726.020904331922338            246.309265554564547
          1490.000000000000000         -90317.009888974484056        -168404.739944510889472        6871949.636117571033537           7098.292708774414677           2728.242001448328210            162.245240740101906
          1500.000000000000000         -19330.011414243199397        -141112.601443060673773        6873151.685447261668742           7098.962645260540739           2730.130195075881147             78.162323108575791
          1510.000000000000000          51659.356137561713695        -113803.246467680452042        6873512.853474964387715           7098.766521556956832           2731.685262394380061             -5.929325945569516
          1520.000000000000000         122642.432255296953372         -86480.007231967887492        6873033.103699165396392           7097.704372770638656           2732.907019876501181            -90.019543760975864
          1530.000000000000000         193610.557287613744847         -59146.217586772021605        6871712.501246788538992           7095.776335765986005           2733.795323458132316           -174.098167509596550
          1540.000000000000000         264555.073460892250296         -31805.212628967918135        6869551.212868944741786           7092.982649223695262           2734.350068163114429           -258.155035347741148
          1550.000000000000000         335467.325897449394688          -4460.328308371837920        6866549.506925813853741           7089.323653658389048           2734.571188376007740           -342.179987497279456
          1560.000000000000000         406338.663634039927274          22885.098966221885348        6862707.753360357135534           7084.799791447889220           2734.458657889554615           -426.162867369463811
          1570.000000000000000         477160.440640695567708          50227.732721719155961        6858026.423660707660019           7079.411606857732295           2734.012489980879309           -510.093522701651125
          1580.000000000000000         547924.016839277581312          77564.236813351046294        6852506.090811401605606           7073.159746008678667           2733.232737186759550           -593.961806674899208
          1590.000000000000000         618620.759121878538281         104891.275817670451943        6846147.429233454167843           7066.044956847272260           2732.119491325867330           -677.757579025492419
          1600.000000000000000         689242.042370484443381         132205.515432665706612        6838951.214711786247790           7058.068089303114903           2730.672884386250644           -761.470707347765142
          1610.000000000000000         759779.250474227592349         159503.622867525060428        6830918.324312909506261           7049.230094964692398           2728.893087101408582           -845.091068001740723
          1620.000000000000000         830223.777346804272383         186782.267236079933355        6822049.736290788277984           7039.532027149797614           2726.780309647626382           -928.608547346848695
          1630.000000000000000         900567.027945149224252         214038.119957231974695        6812346.529978901147842           7028.975041066312770           2724.334802433207642          -1012.013043180562931
          1640.000000000000000         970800.419284192495979         241267.855143242166378        6801809.885674640536308           7017.560393240407393           2721.556854274070702          -1095.294465301775062
          1650.000000000000000        1040915.381454057293013         268468.149999584828038        6790441.084507714025676           7005.289442015580789           2718.446794471530211          -1178.442737439551365
          1660.000000000000000        1110903.358634396921843         295635.685218292637728        6778241.508299344219267           6992.163646982138744           2715.004991204618818          -1261.447797804950824
          1670.000000000000000        1180755.810105532174930         322767.145364961470477        6765212.639413358643651           6978.184568822885922           2711.231851493999329          -1344.299600133760578
          1680.000000000000000        1250464.211263517383486         349859.219281527039129        6751356.060586958192289           6963.353869713485437           2707.127822777273650          -1426.988115759555967
          1690.000000000000000        1320020.054628083715215         376908.600471733370796        6736673.454759899526834           6947.673312444877411           2702.693390726257803          -1509.503333501541420
          1700.000000000000000        1389414.850854211021215         403911.987501197087113        6721166.604882016777992           6931.144760998030506           2697.929081330717509          -1591.835262229491491
          1710.000000000000000        1458640.129736950155348         430866.084382998291403        6704837.393719629384577           6913.770179608504804           2692.835458734896747          -1673.973930467587024
          1720.000000000000000        1527687.441219051601365         457767.600975581968669        6687687.803639775142074           6895.551633328589560           2687.413127261169393          -1755.909389232901958
          1730.000000000000000        1596548.356392234098166         484613.253368316043634        6669719.916393758729100           6876.491287064986864           2681.662729301269337          -1837.631711350703654
          1740.000000000000000        1665214.468501045601442         511399.764279104652815        6650935.912876017391682           6856.591406187209941           2675.584947483295309          -1919.130994838372999
          1750.000000000000000        1733677.393938430817798         538123.863435099250637        6631338.072889880277216           6835.854355302391014           2669.180501929462480          -2000.397361125371617
          1760.000000000000000        1801928.773244959069416         564782.287969124619849        6610928.774882453493774           6814.282598979543764           2662.450152796076509          -2081.420959202959693
          1770.000000000000000        1869960.272100667469203         591371.782801718218252        6589710.495685879141092           6791.878700735763232           2655.394698116892869          -2162.191964143266432
          1780.000000000000000        1937763.582318560220301         617889.101034530671313        6567685.810229836031795           6768.645323393126091           2648.014975468802731          -2242.700580678090773
          1790.000000000000000        2005330.422831463161856         644331.004331282456405        6544857.391260937787592           6744.585228226294021           2640.311860205898938          -2322.937041728642271
          1800.000000000000000        2072652.540679361904040         670694.263308007153682        6521228.009033435024321           6719.701275193889160           2632.286266949828132          -2402.891612197944596
          1810.000000000000000        2139721.711991140153259         696975.657913344912231        6496800.531006026081741           6693.996422187915414           2623.939147994160066          -2482.554587275184986
          1820.000000000000000        2206529.742965389043093         723171.977815566700883        6471577.921511305496097           6667.473725114296030           2615.271494600352526          -2561.916296410596260
          1830.000000000000000        2273068.470846963580698         749280.022784164990298        6445563.241423754952848           6640.136337310025738           2606.284335866895162          -2640.967102206078380
          1840.000000000000000        2339329.764900167938322         775296.603067570715211        6418759.647825581952929           6611.987509300372949           2596.978738713747134          -2719.697401428221838
          1850.000000000000000        2405305.527379739098251         801218.539778024540283        6391170.393638248555362           6583.030588549648201           2587.355808554711530          -2798.097628434537455
          1860.000000000000000        2470987.694497883319855         827042.665267950622365        6362798.827265411615372           6553.269019047298571           2577.416688275380238          -2876.158253491188134
          1870.000000000000000        2536368.237388104666024         852765.823508483823389        6333648.392214726656675           6522.706341003568014           2567.162558619447282          -2953.869785412517103
          1880.000000000000000        2601439.163065644912422         878384.870466361520812        6303722.626710541546345           6491.346190496987219           2556.594637943634098          -3031.222772221979085
          1890.000000000000000        2666192.515384426340461         903896.674479450914077        6273025.163296529091895           6459.192299124920282           2545.714182096498917          -3108.207802203748088
          1900.000000000000000        2730620.375990453641862         929298.116631048382260        6241559.728427853435278           6426.248493648875410           2534.522484295374852          -3184.815504950667673
          1910.000000000000000        2794714.865271679125726         954586.091122949728742        6209330.142052846960723           6392.518695634691539           2523.020875001527202          -3261.036552409139404
          1920.000000000000000        2858468.143303399905562         979757.505647464888170        6176340.317180717363954           6358.006920997734596           2511.210721817651574          -3336.861660319825205
          1930.000000000000000        2921872.410792245529592        1004809.281757450429723        6142594.259449187666178           6322.717279890106511           2499.093429275868857          -3412.281588057072895
          1940.000000000000000        2984919.910014445427805        1029738.355235815979540        6108096.066672046668828           6286.653976081172914           2486.670438803610523          -3487.287140873541375
          1950.000000000000000        3047602.925750816706568        1054541.676463495939970        6072849.928378845565021           6249.821306654228465           2473.943228555842779          -3561.869170535512694
