				AU**3/day**2			米**3/秒**2
GM1水星		4.912547451450810E-11	2.203208049039430E+13
GM2金星		7.243452486162700E-10	3.248585988850910E+14
GM4火星		9.549535105779250E-11	4.282831426579690E+13
GM5木星		2.825345909524220E-07	1.267127678806650E+17
GM6土星		8.459715185680650E-08	3.794062606798490E+16
GM7天王星		1.292024916781960E-08	5.794549008117650E+15
GM8海王星		1.524358900784270E-08	6.836534065113120E+15
GM9冥王星		2.188699765425970E-12	9.816008878841680E+11
   月球		1.093189658962130E-11	4.902801000000000E+12
GMS太阳		2.959122082855910E-04	1.327124400419390E+20
